hour,entity_type,entity_id,event,detail
1,WAREHOUSE,0,QUEUE,"length=0 trucks=[]"
1,WAREHOUSE,0,DOCK_STATUS,"dock=0 FREE dock=1 FREE dock=2 FREE"
1,WAREHOUSE,1,QUEUE,"length=0 trucks=[]"
1,WAREHOUSE,1,DOCK_STATUS,"dock=0 FREE dock=1 FREE dock=2 FREE"
1,WAREHOUSE,2,QUEUE,"length=0 trucks=[]"
1,WAREHOUSE,2,DOCK_STATUS,"dock=0 FREE"
1,WAREHOUSE,3,QUEUE,"length=0 trucks=[]"
1,WAREHOUSE,3,DOCK_STATUS,"dock=0 FREE dock=1 FREE"
1,WAREHOUSE,4,QUEUE,"length=0 trucks=[]"
1,WAREHOUSE,4,DOCK_STATUS,"dock=0 FREE dock=1 FREE"
1,TRUCK,0,MOVING,"pos=(79.80,15.10) heading to WH-0"
1,TRUCK,1,MOVING,"pos=(21.00,82.60) heading to WH-0"
1,TRUCK,2,MOVING,"pos=(15.90,27.40) heading to WH-2"
2,WAREHOUSE,0,QUEUE,"length=0 trucks=[]"
2,WAREHOUSE,0,DOCK_STATUS,"dock=0 FREE dock=1 FREE dock=2 FREE"
2,WAREHOUSE,1,QUEUE,"length=0 trucks=[]"
2,WAREHOUSE,1,DOCK_STATUS,"dock=0 FREE dock=1 FREE dock=2 FREE"
2,WAREHOUSE,2,QUEUE,"length=0 trucks=[]"
2,WAREHOUSE,2,DOCK_STATUS,"dock=0 FREE"
2,WAREHOUSE,3,QUEUE,"length=0 trucks=[]"
2,WAREHOUSE,3,DOCK_STATUS,"dock=0 FREE dock=1 FREE"
2,WAREHOUSE,4,QUEUE,"length=0 trucks=[]"
2,WAREHOUSE,4,DOCK_STATUS,"dock=0 FREE dock=1 FREE"
2,TRUCK,0,MOVING,"pos=(78.03,17.53) heading to WH-0"
2,TRUCK,1,MOVING,"pos=(23.70,79.65) heading to WH-0"
2,TRUCK,2,MOVING,"pos=(17.90,27.42) heading to WH-2"
3,WAREHOUSE,0,QUEUE,"length=0 trucks=[]"
3,WAREHOUSE,0,DOCK_STATUS,"dock=0 FREE dock=1 FREE dock=2 FREE"
3,WAREHOUSE,1,QUEUE,"length=0 trucks=[]"
3,WAREHOUSE,1,DOCK_STATUS,"dock=0 FREE dock=1 FREE dock=2 FREE"
3,WAREHOUSE,2,QUEUE,"length=0 trucks=[]"
3,WAREHOUSE,2,DOCK_STATUS,"dock=0 FREE"
3,WAREHOUSE,3,QUEUE,"length=0 trucks=[]"
3,WAREHOUSE,3,DOCK_STATUS,"dock=0 FREE dock=1 FREE"
3,WAREHOUSE,4,QUEUE,"length=0 trucks=[]"
3,WAREHOUSE,4,DOCK_STATUS,"dock=0 FREE dock=1 FREE"
